"time","survival","lower","upper","strata","variable"
0,1,1,1,"female","Sex"
0,1,1,1,"male","Sex"
1,0.999984115653994,0.999950639650043,1.00001759277864,"female","Sex"
2,0.999978091806264,0.999934874144236,1.00002131133618,"female","Sex"
3,0.99997206557386,0.99992092787346,1.00002320588953,"female","Sex"
4,0.999936452123012,0.999869497892029,1.00000341083745,"female","Sex"
5,0.999910701380592,0.999833390710873,0.999988018028246,"female","Sex"
6,0.999835626012653,0.999738988446473,0.999932272920091,"female","Sex"
7,0.999799990670399,0.999694125875133,0.999905866676449,"female","Sex"
8,0.999774221989944,0.999661519302249,0.999886937383837,"female","Sex"
9,0.999748432645679,0.999629278055598,0.999867601438841,"female","Sex"
10,0.999683177154886,0.999552075950688,0.999814295554313,"female","Sex"
11,0.999617950154801,0.999475913952993,0.99976000654147,"female","Sex"
12,0.999542835074967,0.999389422206637,0.999696271493185,"female","Sex"
13,0.999497315890045,0.999336765886328,0.999657891687172,"female","Sex"
14,0.999353145159924,0.999174966231953,0.999531355861839,"female","Sex"
15,0.999199052296481,0.999003875047559,0.999394267677547,"female","Sex"
16,0.998985794232795,0.998769756891745,0.999201878303466,"female","Sex"
17,0.998565295223594,0.998314158284092,0.998816495339363,"female","Sex"
18,0.998105228171425,0.997820716582811,0.998389820883674,"female","Sex"
19,0.997339166333843,0.997007016092909,0.997671427229748,"female","Sex"
20,0.996346187606149,0.995961265041583,0.996731258936923,"female","Sex"
21,0.995402250857639,0.994973180966087,0.99583150578028,"female","Sex"
22,0.993885873369177,0.993394618923813,0.994377370750153,"female","Sex"
23,0.992201738480694,0.991649826415282,0.992753957717972,"female","Sex"
24,0.990448296317907,0.989839831874856,0.991057134790136,"female","Sex"
25,0.98837863495686,0.987709853326273,0.989047869421716,"female","Sex"
26,0.98622988002433,0.985504020426147,0.98695627424454,"female","Sex"
27,0.984071195920824,0.983292431259634,0.984850577361294,"female","Sex"
28,0.981922045294095,0.981094171297722,0.982750617873105,"female","Sex"
29,0.979802712554314,0.978929313422717,0.980676890931187,"female","Sex"
30,0.977722494802989,0.976806782190551,0.978639065854992,"female","Sex"
31,0.975484205223205,0.974525268876442,0.97644408516676,"female","Sex"
32,0.973265505041167,0.972265753856779,0.974266284239167,"female","Sex"
33,0.971392311240999,0.970359452777004,0.972426269087912,"female","Sex"
34,0.969193059995628,0.968122849080581,0.97026445397479,"female","Sex"
